Color,Color Name,hexadecimal value,Red,Green,Blue,Season
lemon_lime,Lemon Lime,#e3ff00,227,255,0,Spring
light_apricot,Light Apricot,#fdd5b1,253,213,177,Spring
light_carmine_pink,Light Carmine Pink,#e66771,230,103,113,Spring
light_coral,Light Coral,#f08080,240,128,128,Spring
light_crimson,Light Crimson,#f56991,245,105,145,Spring
light_fuchsia_pink,Light Fuchsia Pink,#f984ef,249,132,239,Spring
light_goldenrod_yellow,Light Goldenrod Yellow,#fafad2,250,250,210,Spring
light_khaki,Light Khaki,#f0e68c,240,230,140,Spring
light_pink,Light Pink,#ffb6c1,255,182,193,Spring
light_red_ochre,Light Red Ochre,#e97451,233,116,81,Spring
light_salmon,Light Salmon,#ffa07a,255,160,122,Spring
light_salmon_pink,Light Salmon Pink,#f99,255,153,153,Spring
light_taupe,Light Taupe,#b38b6d,179,139,109,Spring
light_thulian_pink,Light Thulian Pink,#e68fac,230,143,172,Spring
light_yellow,Light Yellow,#ffffe0,255,255,224,Spring
lime_color_wheel,Lime (Color Wheel),#bfff00,191,255,0,Spring
linen,Linen,#faf0e6,250,240,230,Spring
lion,Lion,#c19a6b,193,154,107,Spring
maize,Maize,#fbec5d,251,236,93,Spring
mango_tango,Mango Tango,#ff8243,255,130,67,Spring
mantis,Mantis,#74c365,116,195,101,Spring
mauvelous,Mauvelous,#ef98aa,239,152,170,Spring
meat_brown,Meat Brown,#e5b73b,229,183,59,Spring
medium_champagne,Medium Champagne,#f3e5ab,243,229,171,Spring
medium_spring_bud,Medium Spring Bud,#c9dc87,201,220,135,Spring
mellow_apricot,Mellow Apricot,#f8b878,248,184,120,Spring
mellow_yellow,Mellow Yellow,#f8de7e,248,222,126,Spring
melon,Melon,#fdbcb4,253,188,180,Spring
mikado_yellow,Mikado Yellow,#ffc40c,255,196,12,Spring
misty_rose,Misty Rose,#ffe4e1,255,228,225,Spring
moccasin,Moccasin,#faebd7,250,235,215,Spring
mountbatten_pink,Mountbatten Pink,#997a8d,153,122,141,Spring
mulberry,Mulberry,#c54b8c,197,75,140,Spring
mustard,Mustard,#ffdb58,255,219,88,Spring
nadeshiko_pink,Nadeshiko Pink,#f6adc6,246,173,198,Spring
naples_yellow,Naples Yellow,#fada5e,250,218,94,Spring
navajo_white,Navajo White,#ffdead,255,222,173,Spring
neon_carrot,Neon Carrot,#ffa343,255,163,67,Spring
neon_fuchsia,Neon Fuchsia,#fe4164,254,65,100,Spring
new_york_pink,New York Pink,#d7837f,215,131,127,Spring
old_gold,Old Gold,#cfb53b,207,181,59,Spring
old_lace,Old Lace,#fdf5e6,253,245,230,Spring
old_rose,Old Rose,#c08081,192,128,129,Spring
olivine,Olivine,#9ab973,154,185,115,Spring
opera_mauve,Opera Mauve,#b784a7,183,132,167,Spring
orange_peel,Orange Peel,#ff9f00,255,159,0,Spring
orange_ryb,Orange (Ryb),#fb9902,251,153,2,Spring
orange_web_color,Orange (Web Color),#ffa500,255,165,0,Spring
orchid,Orchid,#da70d6,218,112,214,Spring
outrageous_orange,Outrageous Orange,#ff6e4a,255,110,74,Spring
pale_chestnut,Pale Chestnut,#ddadaf,221,173,175,Spring
pale_copper,Pale Copper,#da8a67,218,138,103,Spring
pale_gold,Pale Gold,#e6be8a,230,190,138,Spring
pale_goldenrod,Pale Goldenrod,#eee8aa,238,232,170,Spring
pale_magenta,Pale Magenta,#f984e5,249,132,229,Spring
pale_pink,Pale Pink,#fadadd,250,218,221,Spring
pale_red_violet,Pale Red-Violet,#db7093,219,112,147,Spring
pale_silver,Pale Silver,#c9c0bb,201,192,187,Spring
pale_spring_bud,Pale Spring Bud,#ecebbd,236,235,189,Spring
pale_taupe,Pale Taupe,#bc987e,188,152,126,Spring
pale_violet_red,Pale Violet-Red,#db7093,219,112,147,Spring
papaya_whip,Papaya Whip,#ffefd5,255,239,213,Spring
pastel_gray,Pastel Gray,#cfcfc4,207,207,196,Spring
pastel_magenta,Pastel Magenta,#f49ac2,244,154,194,Spring
pastel_orange,Pastel Orange,#ffb347,255,179,71,Spring
pastel_pink,Pastel Pink,#dea5a4,222,165,164,Spring
pastel_red,Pastel Red,#ff6961,255,105,97,Spring
pastel_violet,Pastel Violet,#cb99c9,203,153,201,Spring
pastel_yellow,Pastel Yellow,#fdfd96,253,253,150,Spring
peach,Peach,#ffe5b4,255,229,180,Spring
peach_crayola,Peach (Crayola),#ffcba4,255,203,164,Spring
peach_orange,Peach-Orange,#fc9,255,204,153,Spring
peach_puff,Peach Puff,#ffdab9,255,218,185,Spring
peach_yellow,Peach-Yellow,#fadfad,250,223,173,Spring
pear,Pear,#d1e231,209,226,49,Spring
pearl,Pearl,#eae0c8,234,224,200,Spring
pearly_purple,Pearly Purple,#b768a2,183,104,162,Spring
peridot,Peridot,#e6e200,230,226,0,Spring
persian_orange,Persian Orange,#d99058,217,144,88,Spring
persian_pink,Persian Pink,#f77fbe,247,127,190,Spring
