Color,Color Name,hexadecimal value,Red,Green,Blue,Season
teal_blue,Teal Blue,#367588,54,117,136,Winter
teal_green,Teal Green,#00827f,0,130,127,Winter
tiffany_blue,Tiffany Blue,#0abab5,10,186,181,Winter
trolley_grey,Trolley Grey,#808080,128,128,128,Winter
tropical_rain_forest,Tropical Rain Forest,#00755e,0,117,94,Winter
true_blue,True Blue,#0073cf,0,115,207,Winter
tufts_blue,Tufts Blue,#417dc1,65,125,193,Winter
ua_blue,Ua Blue,#03a,0,51,170,Winter
ucla_blue,Ucla Blue,#536895,83,104,149,Winter
ufo_green,Ufo Green,#3cd070,60,208,112,Winter
ultramarine,Ultramarine,#120a8f,18,10,143,Winter
up_forest_green,Up Forest Green,#014421,1,68,33,Winter
usafa_blue,Usafa Blue,#004f98,0,79,152,Winter
violet,Violet,#8f00ff,143,0,255,Winter
violet_blue,Violet-Blue,#324ab2,50,74,178,Winter
violet_color_wheel,Violet (Color Wheel),#7f00ff,127,0,255,Winter
violet_ryb,Violet (Ryb),#8601af,134,1,175,Winter
viridian,Viridian,#40826d,64,130,109,Winter
warm_black,Warm Black,#004242,0,66,66,Winter
xanadu,Xanadu,#738678,115,134,120,Winter
yale_blue,Yale Blue,#0f4d92,15,77,146,Winter
zaffre,Zaffre,#0014a8,0,20,168,Winter
